config_id,year,net_pnl_usd,transaction_cost_usd,max_drawdown_fraction,execution_side_count,signal_abstention_sessions,risk_shutdown_sessions,kill_triggered,continuous_net_pnl_usd,continuous_max_drawdown_fraction,complexity
s-half__l-none__p-half__u-half_high,2016,6420.0,1215.0,0.045135263407688656,81.0,25,44,True,2785.0,0.06361810879883169,3
s-half__l-half__p-none__u-none,2016,8695.0,1185.0,0.04326766335988077,79.0,25,44,True,3610.0,0.06858506709898225,2
s-half__l-half__p-none__u-half_high,2016,6600.0,1215.0,0.04381241549446118,81.0,25,44,True,1835.0,0.06696653967962546,3
s-half__l-half__p-half__u-none,2016,8695.0,1185.0,0.04326766335988077,79.0,25,44,True,3610.0,0.06858506709898225,3
s-half__l-half__p-half__u-half_high,2016,6600.0,1215.0,0.04381241549446118,81.0,25,44,True,1835.0,0.06696653967962546,4
s-half__l-veto__p-none__u-none,2016,8875.0,1185.0,0.042148625689482626,79.0,29,44,True,2645.0,0.07876989479363367,2
s-half__l-veto__p-none__u-half_high,2016,6780.0,1215.0,0.04373771578772881,81.0,29,44,True,870.0,0.07734958529991294,3
s-half__l-veto__p-half__u-none,2016,8875.0,1185.0,0.042148625689482626,79.0,29,44,True,2645.0,0.07876989479363367,3
s-half__l-veto__p-half__u-half_high,2016,6780.0,1215.0,0.04373771578772881,81.0,29,44,True,870.0,0.07734958529991294,4
s-veto__l-none__p-none__u-none,2016,7980.0,1410.0,0.042363847045191194,94.0,121,44,True,4040.0,0.06289762216306456,1
s-veto__l-none__p-none__u-half_high,2016,5885.0,1440.0,0.04241050344762445,96.0,121,44,True,2250.0,0.06393029121761064,2
s-veto__l-none__p-half__u-none,2016,7980.0,1410.0,0.042363847045191194,94.0,121,44,True,4040.0,0.06289762216306456,2
s-veto__l-none__p-half__u-half_high,2016,5885.0,1440.0,0.04241050344762445,96.0,121,44,True,2250.0,0.06393029121761064,3
s-veto__l-half__p-none__u-none,2016,8160.0,1410.0,0.042293276572116054,94.0,121,44,True,3075.0,0.06891714557219784,2
s-veto__l-half__p-none__u-half_high,2016,6065.0,1440.0,0.042338519566242336,96.0,121,44,True,1300.0,0.06729704797047971,3
s-veto__l-half__p-half__u-none,2016,8160.0,1410.0,0.042293276572116054,94.0,121,44,True,3075.0,0.06891714557219784,3
s-veto__l-half__p-half__u-half_high,2016,6065.0,1440.0,0.042338519566242336,96.0,121,44,True,1300.0,0.06729704797047971,4
s-veto__l-veto__p-none__u-none,2016,8340.0,1410.0,0.04222294082320876,94.0,125,44,True,2110.0,0.07915066636548453,2
s-veto__l-veto__p-none__u-half_high,2016,6245.0,1440.0,0.04226677962910665,96.0,125,44,True,335.0,0.07773070547062073,3
s-veto__l-veto__p-half__u-none,2016,8340.0,1410.0,0.04222294082320876,94.0,125,44,True,2110.0,0.07915066636548453,3
s-veto__l-veto__p-half__u-half_high,2016,6245.0,1440.0,0.04226677962910665,96.0,125,44,True,335.0,0.07773070547062073,4
s-none__l-none__p-none__u-none,2017,31000.0,1470.0,0.03502895152414222,98.0,29,0,False,31000.0,0.03502895152414222,0
s-none__l-none__p-none__u-half_high,2017,30205.0,1500.0,0.027881485736166955,100.0,29,0,False,30205.0,0.027881485736166955,1
s-none__l-none__p-half__u-none,2017,30190.0,1575.0,0.03502895152414222,105.0,29,0,False,30190.0,0.03502895152414222,1
s-none__l-none__p-half__u-half_high,2017,29530.0,1590.0,0.027881485736166955,106.0,29,0,False,29530.0,0.027881485736166955,2
s-none__l-half__p-none__u-none,2017,30260.0,1365.0,0.03502895152414222,91.0,29,0,False,30260.0,0.03502895152414222,1
s-none__l-half__p-none__u-half_high,2017,29465.0,1395.0,0.027881485736166955,93.0,29,0,False,29465.0,0.027881485736166955,2
s-none__l-half__p-half__u-none,2017,29820.0,1455.0,0.03502895152414222,97.0,29,0,False,29820.0,0.03502895152414222,2
s-none__l-half__p-half__u-half_high,2017,29160.0,1470.0,0.027881485736166955,98.0,29,0,False,29160.0,0.027881485736166955,3
s-none__l-veto__p-none__u-none,2017,29520.0,1260.0,0.03502895152414222,84.0,53,0,False,29520.0,0.03502895152414222,1
s-none__l-veto__p-none__u-half_high,2017,28725.0,1290.0,0.027881485736166955,86.0,53,0,False,28725.0,0.027881485736166955,2
s-none__l-veto__p-half__u-none,2017,29080.0,1350.0,0.03502895152414222,90.0,53,0,False,29080.0,0.03502895152414222,2
s-none__l-veto__p-half__u-half_high,2017,28420.0,1365.0,0.027881485736166955,91.0,53,0,False,28420.0,0.027881485736166955,3
s-half__l-none__p-none__u-none,2017,28750.0,1365.0,0.028042302722878883,91.0,29,0,False,28750.0,0.028042302722878883,1
s-half__l-none__p-none__u-half_high,2017,27585.0,1365.0,0.020749569213095922,91.0,29,0,False,27585.0,0.020749569213095922,2
s-half__l-none__p-half__u-none,2017,27865.0,1395.0,0.028042302722878883,93.0,29,0,False,27865.0,0.028042302722878883,2
s-half__l-none__p-half__u-half_high,2017,26700.0,1395.0,0.020749569213095922,93.0,29,0,False,26700.0,0.020749569213095922,3
s-half__l-half__p-none__u-none,2017,28010.0,1260.0,0.028042302722878883,84.0,29,0,False,28010.0,0.028042302722878883,2
s-half__l-half__p-none__u-half_high,2017,26845.0,1260.0,0.020749569213095922,84.0,29,0,False,26845.0,0.020749569213095922,3
s-half__l-half__p-half__u-none,2017,27495.0,1275.0,0.028042302722878883,85.0,29,0,False,27495.0,0.028042302722878883,3
s-half__l-half__p-half__u-half_high,2017,26330.0,1275.0,0.020749569213095922,85.0,29,0,False,26330.0,0.020749569213095922,4
s-half__l-veto__p-none__u-none,2017,27270.0,1155.0,0.028042302722878883,77.0,53,0,False,27270.0,0.028042302722878883,2
s-half__l-veto__p-none__u-half_high,2017,26105.0,1155.0,0.020749569213095922,77.0,53,0,False,26105.0,0.020749569213095922,3
s-half__l-veto__p-half__u-none,2017,26755.0,1170.0,0.028042302722878883,78.0,53,0,False,26755.0,0.028042302722878883,3
s-half__l-veto__p-half__u-half_high,2017,25590.0,1170.0,0.020749569213095922,78.0,53,0,False,25590.0,0.020749569213095922,4
s-veto__l-none__p-none__u-none,2017,26500.0,1260.0,0.02105565392161554,84.0,181,0,False,26500.0,0.02105565392161554,1
s-veto__l-none__p-none__u-half_high,2017,25335.0,1260.0,0.017985952923310556,84.0,181,0,False,25335.0,0.017985952923310556,2
s-veto__l-none__p-half__u-none,2017,25615.0,1290.0,0.02105565392161554,86.0,181,0,False,25615.0,0.02105565392161554,2
s-veto__l-none__p-half__u-half_high,2017,24450.0,1290.0,0.017985952923310556,86.0,181,0,False,24450.0,0.017985952923310556,3
s-veto__l-half__p-none__u-none,2017,25760.0,1155.0,0.02105565392161554,77.0,181,0,False,25760.0,0.02105565392161554,2
s-veto__l-half__p-none__u-half_high,2017,24595.0,1155.0,0.017985952923310556,77.0,181,0,False,24595.0,0.017985952923310556,3
s-veto__l-half__p-half__u-none,2017,25245.0,1170.0,0.02105565392161554,78.0,181,0,False,25245.0,0.02105565392161554,3
s-veto__l-half__p-half__u-half_high,2017,24080.0,1170.0,0.017985952923310556,78.0,181,0,False,24080.0,0.017985952923310556,4
s-veto__l-veto__p-none__u-none,2017,25020.0,1050.0,0.02105565392161554,70.0,205,0,False,25020.0,0.02105565392161554,2
s-veto__l-veto__p-none__u-half_high,2017,23855.0,1050.0,0.017985952923310556,70.0,205,0,False,23855.0,0.017985952923310556,3
s-veto__l-veto__p-half__u-none,2017,24505.0,1065.0,0.02105565392161554,71.0,205,0,False,24505.0,0.02105565392161554,3
s-veto__l-veto__p-half__u-half_high,2017,23340.0,1065.0,0.017985952923310556,71.0,205,0,False,23340.0,0.017985952923310556,4
s-none__l-none__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,39,302,True,-19.999999999985448,0.19448930651397237,0
s-none__l-none__p-none__u-half_high,2018,-5110.0,525.0,0.06920398253960469,35.0,39,50,True,-7599.999999999985,0.19059296679582113,1
s-none__l-none__p-half__u-none,2018,-5405.0,615.0,0.07409582538051192,41.0,39,50,True,-24.999999999985448,0.1945382469534575,1
s-none__l-none__p-half__u-half_high,2018,-5425.0,570.0,0.07322570371640658,38.0,39,50,True,-7914.999999999985,0.19449276072417243,2
s-none__l-half__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,39,302,True,110.00000000001455,0.19321685508735853,1
s-none__l-half__p-none__u-half_high,2018,-4980.0,600.0,0.0686596422445479,40.0,39,50,True,-7469.999999999985,0.18995344278363133,2
s-none__l-half__p-half__u-none,2018,-5235.0,690.0,0.07256801722450577,46.0,39,50,True,145.00000000001455,0.19299275787825393,2
s-none__l-half__p-half__u-half_high,2018,-5255.0,645.0,0.0725822239624119,43.0,39,50,True,-7744.999999999985,0.19371574001566155,3
s-none__l-veto__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,55,302,True,240.00000000001455,0.19194440366074472,1
s-none__l-veto__p-none__u-half_high,2018,-4850.0,675.0,0.06857226763251921,45.0,55,50,True,-7339.999999999985,0.1897117125936076,2
s-none__l-veto__p-half__u-none,2018,-5105.0,765.0,0.07247580881634248,51.0,55,50,True,275.00000000001455,0.192747532010556,2
s-none__l-veto__p-half__u-half_high,2018,-5125.0,720.0,0.07248997947013393,48.0,55,50,True,-7614.999999999985,0.1934695473653337,3
s-half__l-none__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,39,302,True,1810.0000000000146,0.16179709293789443,1
s-half__l-none__p-none__u-half_high,2018,-4330.0,630.0,0.05692739908324708,42.0,39,50,True,-4184.999999999985,0.14993346148159087,2
s-half__l-none__p-half__u-none,2018,-3795.0,720.0,0.05833700386629472,48.0,39,50,True,2245.0000000000146,0.1575392747026867,2
