trade_date,session_open,contract_id,forecast_id,signal_requested_position,signal_abstained,risk_shutdown,prior_target_position,target_position,order_delta,execution_side_count,roll_side_count,transaction_cost_usd,gross_pnl_usd,net_pnl_usd,equity_usd,peak_equity_usd,daily_loss_usd,drawdown_fraction,risk_state,kill_reason,no_trade_reason,signal_reason,roll_at_open,next_selected_contract_id,score_year
2021-12-16 00:00:00+00:00,2021-12-16 00:00:00+00:00,NGF2@2021-12-29,fc30d33fde289876c0e6,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-17 00:00:00+00:00,2021-12-17 00:00:00+00:00,NGF2@2021-12-29,61d8c3619637a70193f2,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-19 00:00:00+00:00,2021-12-19 00:00:00+00:00,NGF2@2021-12-29,a66bf31c69e72e8c4956,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-20 00:00:00+00:00,2021-12-20 00:00:00+00:00,NGF2@2021-12-29,a66bf31c69e72e8c4956,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-21 00:00:00+00:00,2021-12-21 00:00:00+00:00,NGF2@2021-12-29,4052ce66ec038030ea9c,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-22 00:00:00+00:00,2021-12-22 00:00:00+00:00,NGF2@2021-12-29,80aad0115fd3d0aa3678,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-23 00:00:00+00:00,2021-12-23 00:00:00+00:00,NGF2@2021-12-29,54d9efaa7807e5457cef,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-26 00:00:00+00:00,2021-12-26 00:00:00+00:00,NGF2@2021-12-29,d729e19063f3e00f07d4,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-27 00:00:00+00:00,2021-12-27 00:00:00+00:00,NGF2@2021-12-29,d729e19063f3e00f07d4,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGF2@2021-12-29,2021
2021-12-28 00:00:00+00:00,2021-12-28 00:00:00+00:00,NGF2@2021-12-29,d729e19063f3e00f07d4,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2021
2021-12-29 00:00:00+00:00,2021-12-29 00:00:00+00:00,NGG2@2022-01-27,d729e19063f3e00f07d4,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2021
2021-12-30 00:00:00+00:00,2021-12-30 00:00:00+00:00,NGG2@2022-01-27,d729e19063f3e00f07d4,1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2021
2021-12-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,NGG2@2022-01-27,,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89490.0,100095.0,0.0,0.10594934811928668,killed,peak_drawdown_kill,end_of_sample_liquidation,forecast_horizon_expired,False,NGG2@2022-01-27,2021
2022-01-02 00:00:00+00:00,2022-01-02 00:00:00+00:00,NGG2@2022-01-27,a316e20114e7f2e62e49,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,100000.0,100000.0,0.0,0.0,active,,specialist_veto,specialist_veto,False,NGG2@2022-01-27,2022
2022-01-03 00:00:00+00:00,2022-01-03 00:00:00+00:00,NGG2@2022-01-27,a316e20114e7f2e62e49,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,active,,specialist_veto,specialist_veto,False,NGG2@2022-01-27,2022
2022-01-04 00:00:00+00:00,2022-01-04 00:00:00+00:00,NGG2@2022-01-27,e1c6cc4aa38ea404f43b,-1.0,False,False,0.0,-1.0,-1.0,1.0,0.0,15.0,1009.999999999999,994.999999999999,100995.0,100995.0,0.0,0.0,active,,,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-05 00:00:00+00:00,2022-01-05 00:00:00+00:00,NGG2@2022-01-27,fd3cb99a501f2251d2f9,-1.0,False,False,-1.0,-1.0,0.0,0.0,0.0,0.0,-1190.000000000002,-1190.000000000002,99805.0,100995.0,1190.0,0.011782761522847665,active,,,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-06 00:00:00+00:00,2022-01-06 00:00:00+00:00,NGG2@2022-01-27,afeee871c73368bc9cc7,0.0,True,False,-1.0,0.0,1.0,1.0,0.0,15.0,0.0,-15.0,99790.0,100995.0,15.0,0.011931283726917175,active,,predicted_gross_pnl_not_above_round_trip_cost,predicted_gross_pnl_not_above_round_trip_cost,False,NGG2@2022-01-27,2022
2022-01-07 00:00:00+00:00,2022-01-07 00:00:00+00:00,NGG2@2022-01-27,df65727140aa7ec6e022,-1.0,False,False,0.0,-1.0,-1.0,1.0,0.0,15.0,-2829.999999999999,-2844.999999999999,96945.0,100995.0,2845.0,0.040100995098767266,killed,daily_loss_limit,,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-09 00:00:00+00:00,2022-01-09 00:00:00+00:00,NGG2@2022-01-27,7cc9644ce1cd60c32c9d,0.0,True,True,-1.0,0.0,1.0,1.0,0.0,15.0,-0.0,-15.0,96930.0,100995.0,15.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,predicted_gross_pnl_not_above_round_trip_cost,False,NGG2@2022-01-27,2022
2022-01-10 00:00:00+00:00,2022-01-10 00:00:00+00:00,NGG2@2022-01-27,7cc9644ce1cd60c32c9d,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,predicted_gross_pnl_not_above_round_trip_cost,False,NGG2@2022-01-27,2022
2022-01-11 00:00:00+00:00,2022-01-11 00:00:00+00:00,NGG2@2022-01-27,c557a4ed42e39e2860a5,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
