outer_block_id,trade_date,prediction_time,contract_id
outer-2017-2018,2018-02-07T00:00:00+00:00,2018-02-08T14:19:07.951648592+00:00,NGH8@2018-02-26
outer-2017-2018,2018-03-05T00:00:00+00:00,2018-03-06T14:18:32.383947335+00:00,NGJ8@2018-03-27
outer-2017-2018,2018-04-03T00:00:00+00:00,2018-04-04T13:19:13.701488733+00:00,NGK8@2018-04-26
outer-2017-2018,2018-04-24T00:00:00+00:00,2018-04-25T13:19:05.663858406+00:00,NGM8@2018-05-29
outer-2017-2018,2018-05-14T00:00:00+00:00,2018-05-15T13:19:28.311974866+00:00,NGM8@2018-05-29
outer-2017-2018,2018-06-06T00:00:00+00:00,2018-06-07T13:20:45.582672308+00:00,NGN8@2018-06-27
outer-2017-2018,2018-06-28T00:00:00+00:00,2018-06-29T13:20:34.168122600+00:00,NGQ8@2018-07-27
outer-2017-2018,2018-07-19T00:00:00+00:00,2018-07-20T13:20:44.522899141+00:00,NGQ8@2018-07-27
outer-2017-2018,2018-08-10T00:00:00+00:00,2018-08-13T13:21:04.801793974+00:00,NGU8@2018-08-29
outer-2017-2018,2018-09-04T00:00:00+00:00,2018-09-05T13:20:53.110436712+00:00,NGV8@2018-09-26
outer-2017-2018,2018-09-26T00:00:00+00:00,2018-09-27T13:20:36.952484557+00:00,NGX8@2018-10-29
outer-2017-2018,2018-10-16T00:00:00+00:00,2018-10-17T13:20:38.700060821+00:00,NGX8@2018-10-29
outer-2017-2018,2018-11-13T00:00:00+00:00,2018-11-14T14:20:17.552525798+00:00,NGZ8@2018-11-28
outer-2017-2018,2018-12-05T00:00:00+00:00,2018-12-06T14:19:14.707541485+00:00,NGF9@2018-12-27
outer-2017-2018,2018-12-27T00:00:00+00:00,2018-12-28T14:19:40.317744353+00:00,NGG9@2019-01-29
outer-2019-2020,2018-12-28T00:00:00+00:00,2018-12-31T14:20:08.679408268+00:00,NGG9@2019-01-29
outer-2019-2020,2019-01-18T00:00:00+00:00,2019-01-22T14:19:49.130157568+00:00,NGG9@2019-01-29
outer-2019-2020,2019-02-12T00:00:00+00:00,2019-02-13T14:19:14.994049689+00:00,NGH9@2019-02-26
outer-2019-2020,2019-03-13T00:00:00+00:00,2019-03-14T13:33:41.905875775+00:00,NGJ9@2019-03-27
outer-2019-2020,2019-04-05T00:00:00+00:00,2019-04-08T13:22:02.047181351+00:00,NGK9@2019-04-26
outer-2019-2020,2019-04-30T00:00:00+00:00,2019-05-01T13:18:53.199587789+00:00,NGM9@2019-05-29
outer-2019-2020,2019-05-20T00:00:00+00:00,2019-05-21T13:22:16.942380480+00:00,NGM9@2019-05-29
outer-2019-2020,2019-06-17T00:00:00+00:00,2019-06-18T13:19:28.119531201+00:00,NGN9@2019-06-26
outer-2019-2020,2019-07-11T00:00:00+00:00,2019-07-12T13:22:52.091551292+00:00,NGQ9@2019-07-29
outer-2019-2020,2019-08-02T00:00:00+00:00,2019-08-05T13:19:05.728802255+00:00,NGU9@2019-08-28
outer-2019-2020,2019-08-26T00:00:00+00:00,2019-08-27T13:20:00.204524588+00:00,NGV9@2019-09-26
outer-2019-2020,2019-09-16T00:00:00+00:00,2019-09-17T13:19:11.959112412+00:00,NGV9@2019-09-26
outer-2019-2020,2019-10-08T00:00:00+00:00,2019-10-09T13:18:52.033598601+00:00,NGX9@2019-10-29
outer-2019-2020,2019-11-05T00:00:00+00:00,2019-11-06T14:19:12.920568079+00:00,NGZ9@2019-11-26
outer-2019-2020,2019-11-27T00:00:00+00:00,2019-11-29T14:20:06.304576192+00:00,NGF0@2019-12-27
outer-2019-2020,2019-12-18T00:00:00+00:00,2019-12-19T14:20:38.253398459+00:00,NGF0@2019-12-27
outer-2019-2020,2020-01-14T00:00:00+00:00,2020-01-15T14:30:50.421086206+00:00,NGG0@2020-01-29
outer-2019-2020,2020-02-06T00:00:00+00:00,2020-02-07T14:20:25.837298646+00:00,NGH0@2020-02-26
outer-2019-2020,2020-03-03T00:00:00+00:00,2020-03-04T15:32:29.838199624+00:00,NGJ0@2020-03-27
outer-2019-2020,2020-03-25T00:00:00+00:00,2020-03-26T13:20:07.818681426+00:00,NGK0@2020-04-28
outer-2019-2020,2020-04-16T00:00:00+00:00,2020-04-17T13:19:19.582419310+00:00,NGK0@2020-04-28
outer-2019-2020,2020-05-08T00:00:00+00:00,2020-05-11T13:19:31.208923289+00:00,NGM0@2020-05-27
outer-2019-2020,2020-06-01T00:00:00+00:00,2020-06-02T13:20:33.039169905+00:00,NGN0@2020-06-26
outer-2019-2020,2020-06-23T00:00:00+00:00,2020-06-24T13:37:18.630794169+00:00,NGQ0@2020-07-29
outer-2019-2020,2020-07-16T00:00:00+00:00,2020-07-17T13:48:18.962294370+00:00,NGQ0@2020-07-29
outer-2019-2020,2020-08-07T00:00:00+00:00,2020-08-10T13:21:49.778209515+00:00,NGU0@2020-08-27
outer-2019-2020,2020-08-28T00:00:00+00:00,2020-08-31T13:20:23.315943001+00:00,NGV0@2020-09-28
outer-2019-2020,2020-09-18T00:00:00+00:00,2020-09-21T20:32:56.886871501+00:00,NGV0@2020-09-28
outer-2019-2020,2020-10-13T00:00:00+00:00,2020-10-14T13:24:57.988178663+00:00,NGX0@2020-10-28
outer-2019-2020,2020-11-04T00:00:00+00:00,2020-11-05T14:39:49.033674781+00:00,NGZ0@2020-11-25
outer-2019-2020,2020-11-27T00:00:00+00:00,2020-11-30T14:20:04.540751901+00:00,NGF1@2020-12-29
outer-2019-2020,2020-12-18T00:00:00+00:00,2020-12-21T14:37:41.438454558+00:00,NGF1@2020-12-29
outer-2021-2022,2020-12-30T00:00:00+00:00,2020-12-31T14:25:54.542205769+00:00,NGG1@2021-01-27
outer-2021-2022,2021-01-20T00:00:00+00:00,2021-01-21T14:25:34.269999519+00:00,NGG1@2021-01-27
outer-2021-2022,2021-02-11T00:00:00+00:00,2021-02-12T14:32:29.008261911+00:00,NGH1@2021-02-24
